t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.277 -0.0928087 -0.140077 0.985781 -0.0760281 -0.115914 0.990345
0.278 -0.0963337 -0.145056 0.984722 -0.0789327 -0.120148 0.989613
0.279 -0.099868 -0.150014 0.983627 -0.081847 -0.124375 0.988854
0.28 -0.103412 -0.154948 0.982495 -0.0847715 -0.128595 0.988067
0.281 -0.106965 -0.159857 0.981328 -0.0877064 -0.132808 0.987254
0.282 -0.110529 -0.164742 0.980124 -0.0906522 -0.137013 0.986412
0.283 -0.114103 -0.169602 0.978885 -0.0936092 -0.141211 0.985544
0.284 -0.117687 -0.174434 0.977611 -0.0965777 -0.1454 0.984648
0.285 -0.121282 -0.17924 0.976301 -0.0995582 -0.149581 0.983724
0.286 -0.124888 -0.184018 0.974957 -0.102551 -0.153753 0.982773
0.287 -0.128506 -0.188767 0.973578 -0.105557 -0.157916 0.981795
0.288 -0.132134 -0.193487 0.972164 -0.108575 -0.162069 0.980788
0.289 -0.135775 -0.198177 0.970717 -0.111607 -0.166213 0.979754
0.29 -0.139427 -0.202835 0.969236 -0.114653 -0.170346 0.978691
0.291 -0.143092 -0.207462 0.967721 -0.117713 -0.174469 0.977601
0.292 -0.146768 -0.212057 0.966173 -0.120787 -0.178581 0.976483
0.293 -0.150457 -0.216619 0.964593 -0.123877 -0.182682 0.975337
0.294 -0.154159 -0.221147 0.962979 -0.126982 -0.186772 0.974162
0.295 -0.157873 -0.22564 0.961334 -0.130102 -0.190849 0.972959
0.296 -0.1616 -0.230098 0.959656 -0.133239 -0.194914 0.971728
0.297 -0.165341 -0.234521 0.957947 -0.136392 -0.198967 0.970469
0.298 -0.169094 -0.238906 0.956207 -0.139562 -0.203006 0.969181
0.299 -0.172861 -0.243254 0.954435 -0.142749 -0.207032 0.967864
0.3 -0.176641 -0.247565 0.952633 -0.145953 -0.211043 0.966519
0.301 -0.180435 -0.251836 0.950801 -0.149176 -0.215041 0.965145
0.302 -0.184243 -0.256068 0.948938 -0.152417 -0.219023 0.963742
0.303 -0.188064 -0.26026 0.947046 -0.155677 -0.22299 0.96231
0.304 -0.191899 -0.264412 0.945125 -0.158956 -0.226941 0.960849
0.305 -0.195748 -0.268522 0.943175 -0.162255 -0.230876 0.959359
0.306 -0.199611 -0.27259 0.941196 -0.165574 -0.234794 0.95784
0.307 -0.203489 -0.276615 0.939189 -0.168912 -0.238695 0.956291
0.308 -0.20738 -0.280597 0.937155 -0.172272 -0.242578 0.954714
0.309 -0.211285 -0.284535 0.935093 -0.175653 -0.246443 0.953107
0.31 -0.215205 -0.288428 0.933004 -0.179055 -0.250288 0.95147
0.311 -0.219139 -0.292276 0.930888 -0.182479 -0.254115 0.949804
0.312 -0.223086 -0.296078 0.928747 -0.185925 -0.257921 0.948108
0.313 -0.227049 -0.299834 0.926579 -0.189394 -0.261707 0.946382
0.314 -0.231025 -0.303543 0.924386 -0.192886 -0.265471 0.944627
0.315 -0.235015 -0.307204 0.922168 -0.196402 -0.269214 0.942842
