x exact spline
-0.193193 0.517306 0.50512
-0.191191 0.522506 0.506592
-0.189189 0.527756 0.508049
-0.187187 0.533056 0.50949
-0.185185 0.538405 0.510916
-0.183183 0.543803 0.512327
-0.181181 0.54925 0.513722
-0.179179 0.554745 0.515102
-0.177177 0.560289 0.516467
-0.175175 0.56588 0.517817
-0.173173 0.571519 0.519151
-0.171171 0.577204 0.520469
-0.169169 0.582936 0.521773
-0.167167 0.588713 0.523061
-0.165165 0.594534 0.524334
-0.163163 0.6004 0.525591
-0.161161 0.606309 0.526833
-0.159159 0.612261 0.52806
-0.157157 0.618254 0.529271
-0.155155 0.624287 0.530467
-0.153153 0.630359 0.531648
-0.151151 0.63647 0.532814
-0.149149 0.642617 0.533964
-0.147147 0.6488 0.535098
-0.145145 0.655017 0.536218
-0.143143 0.661267 0.537322
-0.141141 0.667548 0.538411
-0.139139 0.673858 0.539484
-0.137137 0.680196 0.540542
-0.135135 0.68656 0.541585
-0.133133 0.692947 0.542612
-0.131131 0.699357 0.543624
-0.129129 0.705787 0.544621
-0.127127 0.712234 0.545602
-0.125125 0.718697 0.546568
-0.123123 0.725172 0.547519
-0.121121 0.731658 0.548455
-0.119119 0.738152 0.549375
-0.117117 0.744651 0.550279
-0.115115 0.751153 0.551169
-0.113113 0.757654 0.552043
-0.111111 0.764151 0.552901
-0.109109 0.770642 0.553745
-0.107107 0.777123 0.554573
-0.105105 0.78359 0.555386
-0.103103 0.790042 0.556183
-0.101101 0.796473 0.556965
-0.0990991 0.80288 0.557732
-0.0970971 0.80926 0.558483
-0.0950951 0.81561 0.559219
-0.0930931 0.821924 0.55994
-0.0910911 0.828199 0.560645
-0.0890891 0.834431 0.561335
-0.0870871 0.840616 0.56201
-0.0850851 0.84675 0.562669
-0.0830831 0.852828 0.563313
-0.0810811 0.858846 0.563942
-0.0790791 0.864799 0.564556
-0.0770771 0.870684 0.565154
-0.0750751 0.876496 0.565736
-0.0730731 0.88223 0.566304
-0.0710711 0.887881 0.566856
-0.0690691 0.893445 0.567392
-0.0670671 0.898917 0.567914
-0.0650651 0.904293 0.56842
-0.0630631 0.909567 0.56891
-0.0610611 0.914736 0.569386
-0.0590591 0.919795 0.569846
-0.0570571 0.924738 0.570291
-0.0550551 0.929561 0.57072
-0.0530531 0.93426 0.571134
-0.0510511 0.93883 0.571533
-0.049049 0.943267 0.571916
-0.047047 0.947566 0.572284
-0.045045 0.951723 0.572637
-0.043043 0.955733 0.572974
-0.041041 0.959592 0.573296
-0.039039 0.963297 0.573603
-0.037037 0.966844 0.573894
-0.035035 0.970227 0.57417
-0.033033 0.973445 0.574431
-0.031031 0.976493 0.574676
-0.029029 0.979368 0.574906
-0.027027 0.982066 0.575121
