x f[0] f[1] f[2] f[3] f[0,1] f[1,2] f[2,3] f[0,1,2] f[1,2,3] f[0,1,2,3]
0.920000 0.000000 0.006400 1.166400 4.326400 0.006400 1.160000 3.160000 0.576800 1.000000 0.141067
0.930000 0.000000 0.004900 1.144900 4.284900 0.004900 1.140000 3.140000 0.567550 1.000000 0.144150
0.940000 0.000000 0.003600 1.123600 4.243600 0.003600 1.120000 3.120000 0.558200 1.000000 0.147267
0.950000 0.000000 0.002500 1.102500 4.202500 0.002500 1.100000 3.100000 0.548750 1.000000 0.150417
0.960000 0.000000 0.001600 1.081600 4.161600 0.001600 1.080000 3.080000 0.539200 1.000000 0.153600
0.970000 0.000000 0.000900 1.060900 4.120900 0.000900 1.060000 3.060000 0.529550 1.000000 0.156817
0.980000 0.000000 0.000400 1.040400 4.080400 0.000400 1.040000 3.040000 0.519800 1.000000 0.160067
0.990000 0.000000 0.000100 1.020100 4.040100 0.000100 1.020000 3.020000 0.509950 1.000000 0.163350
1.000000 0.000000 0.000000 1.000000 4.000000 0.000000 1.000000 3.000000 0.500000 1.000000 0.166667
1.010000 0.000000 0.000000 0.980100 3.960100 0.000000 0.980100 2.980000 0.490050 0.999950 0.169967
1.020000 0.000000 0.000000 0.960400 3.920400 0.000000 0.960400 2.960000 0.480200 0.999800 0.173200
1.030000 0.000000 0.000000 0.940900 3.880900 0.000000 0.940900 2.940000 0.470450 0.999550 0.176367
1.040000 0.000000 0.000000 0.921600 3.841600 0.000000 0.921600 2.920000 0.460800 0.999200 0.179467
1.050000 0.000000 0.000000 0.902500 3.802500 0.000000 0.902500 2.900000 0.451250 0.998750 0.182500
1.060000 0.000000 0.000000 0.883600 3.763600 0.000000 0.883600 2.880000 0.441800 0.998200 0.185467
1.070000 0.000000 0.000000 0.864900 3.724900 0.000000 0.864900 2.860000 0.432450 0.997550 0.188367
1.080000 0.000000 0.000000 0.846400 3.686400 0.000000 0.846400 2.840000 0.423200 0.996800 0.191200
1.090000 0.000000 0.000000 0.828100 3.648100 0.000000 0.828100 2.820000 0.414050 0.995950 0.193967
1.100000 0.000000 0.000000 0.810000 3.610000 0.000000 0.810000 2.800000 0.405000 0.995000 0.196667
1.110000 0.000000 0.000000 0.792100 3.572100 0.000000 0.792100 2.780000 0.396050 0.993950 0.199300
1.120000 0.000000 0.000000 0.774400 3.534400 0.000000 0.774400 2.760000 0.387200 0.992800 0.201867
