t uniform_x uniform_y uniform_z chordal_x chordal_y chordal_z
0.137 0.45317 0.41364 0.790607 0.411648 0.390259 0.810726
0.138 0.448774 0.412736 0.793516 0.406697 0.388554 0.813825
0.139 0.444367 0.411771 0.796428 0.401744 0.386792 0.816923
0.14 0.439948 0.410744 0.799341 0.396789 0.384975 0.82002
0.141 0.435519 0.409656 0.802254 0.391833 0.383102 0.823114
0.142 0.43108 0.408508 0.805168 0.386877 0.381175 0.826205
0.143 0.426631 0.407299 0.808082 0.381922 0.379195 0.829292
0.144 0.422174 0.40603 0.810994 0.37697 0.377162 0.832375
0.145 0.417709 0.404701 0.813904 0.37202 0.375077 0.835453
0.146 0.413235 0.403312 0.816812 0.367075 0.372941 0.838525
0.147 0.408755 0.401864 0.819717 0.362134 0.370754 0.84159
0.148 0.404268 0.400357 0.822619 0.3572 0.368518 0.844648
0.149 0.399776 0.398791 0.825516 0.352273 0.366232 0.847698
0.15 0.395278 0.397167 0.828408 0.347353 0.363899 0.85074
0.151 0.390775 0.395485 0.831294 0.342443 0.361518 0.853772
0.152 0.386268 0.393744 0.834175 0.337543 0.35909 0.856794
0.153 0.381758 0.391946 0.837048 0.332654 0.356617 0.859805
0.154 0.377245 0.390091 0.839914 0.327777 0.354098 0.862805
0.155 0.372729 0.388178 0.842772 0.322912 0.351535 0.865792
0.156 0.368212 0.386209 0.845621 0.318062 0.348929 0.868767
0.157 0.363694 0.384183 0.84846 0.313227 0.34628 0.871728
0.158 0.359175 0.382101 0.85129 0.308407 0.343588 0.874675
0.159 0.354656 0.379963 0.854109 0.303605 0.340856 0.877606
0.16 0.350137 0.377769 0.856916 0.29882 0.338083 0.880522
0.161 0.34562 0.37552 0.859712 0.294055 0.33527 0.883422
0.162 0.341105 0.373216 0.862495 0.289309 0.332418 0.886304
0.163 0.336591 0.370857 0.865265 0.284584 0.329528 0.889168
0.164 0.332081 0.368443 0.86802 0.279881 0.326601 0.892014
0.165 0.327575 0.365975 0.870762 0.275201 0.323637 0.894841
0.166 0.323072 0.363453 0.873488 0.270545 0.320637 0.897648
0.167 0.318574 0.360877 0.876199 0.265913 0.317601 0.900434
0.168 0.314082 0.358248 0.878893 0.261308 0.314532 0.903198
0.169 0.309595 0.355566 0.88157 0.256729 0.311429 0.905941
0.17 0.305115 0.352831 0.884229 0.252178 0.308293 0.908661
0.171 0.300642 0.350043 0.88687 0.247656 0.305125 0.911357
0.172 0.296177 0.347202 0.889492 0.243164 0.301925 0.914029
0.173 0.29172 0.34431 0.892095 0.238702 0.298695 0.916676
0.174 0.287271 0.341366 0.894677 0.234272 0.295435 0.919298
0.175 0.282832 0.338371 0.897239 0.229875 0.292146 0.921893
0.176 0.278403 0.335324 0.899779 0.225512 0.288829 0.924461
0.177 0.273985 0.332226 0.902296 0.221183 0.285485 0.927002
0.178 0.269578 0.329078 0.904791 0.21689 0.282113 0.929514
0.179 0.265183 0.325879 0.907263 0.212634 0.278716 0.931996
0.18 0.2608 0.32263 0.909711 0.208415 0.275294 0.934449
0.181 0.25643 0.319332 0.912133 0.204235 0.271847 0.936872
0.182 0.252073 0.315984 0.914531 0.200095 0.268376 0.939263
0.183 0.247731 0.312586 0.916903 0.195995 0.264883 0.941622
0.184 0.243403 0.30914 0.919248 0.191938 0.261367 0.943949
0.185 0.239091 0.305645 0.921566 0.187922 0.25783 0.946242
0.186 0.234794 0.302101 0.923855 0.183951 0.254273 0.948501
0.187 0.230514 0.29851 0.926117 0.180024 0.250695 0.950725
0.188 0.226251 0.29487 0.928349 0.176142 0.247099 0.952914
0.189 0.222006 0.291183 0.930552 0.172307 0.243484 0.955067
0.19 0.217779 0.287449 0.932724 0.168517 0.239851 0.957183
0.191 0.213571 0.283667 0.934865 0.164773 0.2362 0.959264
0.192 0.209382 0.279839 0.936974 0.161072 0.232532 0.961308
0.193 0.205213 0.275964 0.939052 0.157415 0.228846 0.963317
0.194 0.201065 0.272044 0.941096 0.153801 0.225144 0.965289
0.195 0.196938 0.268077 0.943106 0.150228 0.221425 0.967226
0.196 0.192833 0.264065 0.945083 0.146697 0.21769 0.969127
0.197 0.18875 0.260007 0.947024 0.143207 0.213938 0.970992
0.198 0.18469 0.255904 0.94893 0.139756 0.210171 0.97282
0.199 0.180654 0.251757 0.9508 0.136345 0.206389 0.974613
0.2 0.176641 0.247565 0.952633 0.132972 0.202592 0.976371
0.201 0.172654 0.243328 0.954429 0.129636 0.198779 0.978092
0.202 0.16869 0.239049 0.956187 0.126338 0.194953 0.979778
0.203 0.16475 0.234727 0.957908 0.123076 0.191112 0.981428
0.204 0.160834 0.230363 0.959592 0.119849 0.187257 0.983042
0.205 0.156941 0.225959 0.961238 0.116657 0.183388 0.98462
0.206 0.15307 0.221515 0.962848 0.113499 0.179506 0.986163
0.207 0.14922 0.217032 0.96442 0.110374 0.175611 0.987671
0.208 0.145393 0.212511 0.965955 0.107282 0.171704 0.989142
0.209 0.141586 0.207953 0.967452 0.104222 0.167783 0.990578
0.21 0.1378 0.203359 0.968913 0.101193 0.163851 0.991979
0.211 0.134034 0.198729 0.970336 0.0981944 0.159907 0.993344
0.212 0.130288 0.194065 0.971723 0.0952255 0.155951 0.994673
0.213 0.126561 0.189367 0.973072 0.0922856 0.151984 0.995967
0.214 0.122852 0.184636 0.974385 0.0893739 0.148006 0.997226
0.215 0.119162 0.179874 0.975661 0.0864897 0.144018 0.998449
0.216 0.11549 0.17508 0.976899 0.0836323 0.140019 0.999636
0.217 0.111835 0.170257 0.978101 0.080801 0.13601 1.00079
0.218 0.108197 0.165404 0.979266 0.077995 0.131991 1.00191
0.219 0.104575 0.160523 0.980394 0.0752136 0.127963 1.00299
0.22 0.100969 0.155615 0.981486 0.0724562 0.123925 1.00403
0.221 0.0973789 0.15068 0.98254 0.0697219 0.119879 1.00505
0.222 0.0938036 0.145719 0.983558 0.0670101 0.115824 1.00602
0.223 0.0902429 0.140734 0.98454 0.0643199 0.111761 1.00696
0.224 0.0866964 0.135725 0.985484 0.0616508 0.10769 1.00787
0.225 0.0831634 0.130693 0.986392 0.059002 0.103611 1.00874
0.226 0.0796437 0.125638 0.987264 0.0563727 0.0995243 1.00957
0.227 0.0761367 0.120563 0.988099 0.0537622 0.0954309 1.01037
0.228 0.0726419 0.115467 0.988897 0.0511698 0.0913306 1.01114
0.229 0.0691589 0.110351 0.989659 0.0485948 0.0872238 1.01187
0.23 0.0656873 0.105217 0.990385 0.0460364 0.0831108 1.01256
0.231 0.0622266 0.100066 0.991074 0.043494 0.0789918 1.01322
0.232 0.0587763 0.0948974 0.991727 0.0409667 0.0748673 1.01385
0.233 0.0553359 0.089713 0.992343 0.0384539 0.0707373 1.01444
0.234 0.0519051 0.0845136 0.992923 0.0359549 0.0666024 1.01499
0.235 0.0484832 0.0793001 0.993467 0.0334689 0.0624627 1.01551
0.236 0.04507 0.0740733 0.993975 0.0309952 0.0583186 1.016
0.237 0.0416649 0.0688341 0.994446 0.0285331 0.0541703 1.01645
0.238 0.0382674 0.0635834 0.994882 0.0260818 0.0500182 1.01687
0.239 0.0348771 0.058322 0.995281 0.0236406 0.0458625 1.01725
0.24 0.0314935 0.053051 0.995644 0.0212088 0.0417035 1.01759
0.241 0.0281162 0.0477711 0.995971 0.0187858 0.0375416 1.0179
0.242 0.0247448 0.0424832 0.996262 0.0163706 0.0333771 1.01818
0.243 0.0213786 0.0371883 0.996517 0.0139627 0.0292101 1.01842
0.244 0.0180174 0.0318872 0.996736 0.0115613 0.0250411 1.01863
0.245 0.0146606 0.0265808 0.996919 0.00916565 0.0208703 1.0188
0.246 0.0113077 0.0212699 0.997066 0.00677505 0.016698 1.01894
0.247 0.00795834 0.0159555 0.997177 0.00438879 0.0125245 1.01904
0.248 0.00461202 0.0106385 0.997253 0.00200612 0.00835019 1.01911
0.249 0.00126829 0.00531969 0.997292 -0.000373672 0.00417524 1.01915
0.25 -0.00207332 2.08722e-14 0.997296 -0.00275131 -5.66214e-15 1.01915
0.251 -0.00541328 -0.00531969 0.997264 -0.00512753 -0.00417524 1.01911
0.252 -0.00875203 -0.0106385 0.997197 -0.00750305 -0.00835019 1.01905
0.253 -0.0120901 -0.0159555 0.997094 -0.00987858 -0.0125245 1.01894
