x exact spline
-0.365365 0.230558 0.230558
-0.363363 0.232514 0.232513
-0.361361 0.234491 0.234491
-0.359359 0.236492 0.236491
-0.357357 0.238515 0.238515
-0.355355 0.240562 0.240562
-0.353353 0.242632 0.242632
-0.351351 0.244726 0.244726
-0.349349 0.246845 0.246845
-0.347347 0.248988 0.248988
-0.345345 0.251156 0.251156
-0.343343 0.25335 0.253349
-0.341341 0.255568 0.255568
-0.339339 0.257813 0.257813
-0.337337 0.260084 0.260084
-0.335335 0.262381 0.262381
-0.333333 0.264706 0.264706
-0.331331 0.267058 0.267057
-0.329329 0.269437 0.269437
-0.327327 0.271844 0.271844
-0.325325 0.27428 0.27428
-0.323323 0.276744 0.276744
-0.321321 0.279237 0.279237
-0.319319 0.28176 0.28176
-0.317317 0.284312 0.284312
-0.315315 0.286895 0.286895
-0.313313 0.289508 0.289508
-0.311311 0.292153 0.292152
-0.309309 0.294828 0.294828
-0.307307 0.297535 0.297535
-0.305305 0.300275 0.300275
-0.303303 0.303047 0.303047
-0.301301 0.305851 0.305851
-0.299299 0.308689 0.308689
-0.297297 0.311561 0.311561
-0.295295 0.314467 0.314467
-0.293293 0.317408 0.317407
-0.291291 0.320383 0.320383
-0.289289 0.323394 0.323393
-0.287287 0.32644 0.32644
-0.285285 0.329523 0.329523
-0.283283 0.332642 0.332642
-0.281281 0.335798 0.335798
-0.279279 0.338992 0.338992
-0.277277 0.342223 0.342223
-0.275275 0.345493 0.345493
-0.273273 0.348802 0.348802
-0.271271 0.35215 0.35215
-0.269269 0.355537 0.355537
-0.267267 0.358964 0.358964
-0.265265 0.362432 0.362432
-0.263263 0.36594 0.36594
-0.261261 0.36949 0.36949
-0.259259 0.373081 0.373081
-0.257257 0.376714 0.376714
-0.255255 0.38039 0.38039
-0.253253 0.384109 0.384109
-0.251251 0.387871 0.387871
-0.249249 0.391676 0.391676
-0.247247 0.395526 0.395526
-0.245245 0.39942 0.39942
-0.243243 0.403359 0.403359
-0.241241 0.407343 0.407344
-0.239239 0.411373 0.411373
-0.237237 0.415448 0.415449
-0.235235 0.41957 0.419571
-0.233233 0.423739 0.423739
-0.231231 0.427954 0.427955
-0.229229 0.432217 0.432217
-0.227227 0.436528 0.436528
-0.225225 0.440886 0.440886
-0.223223 0.445292 0.445293
-0.221221 0.449747 0.449748
-0.219219 0.454251 0.454252
-0.217217 0.458803 0.458804
-0.215215 0.463405 0.463406
-0.213213 0.468056 0.468057
-0.211211 0.472756 0.472758
-0.209209 0.477506 0.477507
-0.207207 0.482306 0.482307
-0.205205 0.487156 0.487157
-0.203203 0.492056 0.492056
-0.201201 0.497006 0.497006
-0.199199 0.502006 0.502006
-0.197197 0.507056 0.507057
-0.195195 0.512156 0.512157
-0.193193 0.517306 0.517308
-0.191191 0.522506 0.522509
-0.189189 0.527756 0.527759
-0.187187 0.533056 0.533058
-0.185185 0.538405 0.538407
-0.183183 0.543803 0.543804
-0.181181 0.54925 0.549251
-0.179179 0.554745 0.554746
-0.177177 0.560289 0.560289
-0.175175 0.56588 0.56588
-0.173173 0.571519 0.571519
-0.171171 0.577204 0.577206
-0.169169 0.582936 0.582938
-0.167167 0.588713 0.588716
-0.165165 0.594534 0.594538
-0.163163 0.6004 0.600404
-0.161161 0.606309 0.606313
-0.159159 0.612261 0.612264
-0.157157 0.618254 0.618256
-0.155155 0.624287 0.624288
-0.153153 0.630359 0.63036
-0.151151 0.63647 0.63647
-0.149149 0.642617 0.642617
-0.147147 0.6488 0.648801
-0.145145 0.655017 0.65502
-0.143143 0.661267 0.661271
-0.141141 0.667548 0.667553
-0.139139 0.673858 0.673864
-0.137137 0.680196 0.680202
-0.135135 0.68656 0.686565
-0.133133 0.692947 0.692952
-0.131131 0.699357 0.69936
-0.129129 0.705787 0.705789
-0.127127 0.712234 0.712235
-0.125125 0.718697 0.718697
-0.123123 0.725172 0.725173
-0.121121 0.731658 0.73166
-0.119119 0.738152 0.738156
-0.117117 0.744651 0.744657
-0.115115 0.751153 0.751159
-0.113113 0.757654 0.757661
-0.111111 0.764151 0.764158
-0.109109 0.770642 0.770648
-0.107107 0.777123 0.777127
-0.105105 0.78359 0.783593
-0.103103 0.790042 0.790043
-0.101101 0.796473 0.796473
-0.0990991 0.80288 0.80288
-0.0970971 0.80926 0.809261
-0.0950951 0.81561 0.815611
-0.0930931 0.821924 0.821927
-0.0910911 0.828199 0.828203
